Direction,Random_within_format,Background,Format,Stimulus_Practice,Number,Random_format_order,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,Scr or Whi,
right,0.197478028793,_WHI,word,right_word_2_WHI.jpg,2,0.57093148646,,,,,1,0,1,0,0,21,21,21,,,,,,,,,j,0.0510142880375,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.200219922004,_WHI,word,ahead_word_3_WHI.jpg,3,0.57093148646,,,,,1,0,1,0,0,22,22,22,,,,,,,,,f,0.0512240620446,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.204464574437,_WHI,word,left_word_2_WHI.jpg,2,0.57093148646,,,,,1,0,1,0,0,23,23,23,,,,,,,,,j,0.0007864330546,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.211692973185,_WHI,word,right_word_1_WHI.jpg,1,0.57093148646,,,,,1,0,1,0,0,24,24,24,,,,,,,,,f,0.0682066868176,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.308864696465,_WHI,word,ahead_word_2_WHI.jpg,2,0.57093148646,,,,,1,0,1,0,0,25,25,25,,,,,,,,,j,0.00041252624942,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.762362706624,_WHI,word,ahead_word_1_WHI.jpg,1,0.57093148646,,,,,1,0,1,0,0,26,26,26,,,,,,,,,f,0.0534367828513,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.51788052771,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_18_WHI.jpg,ahead,18,schema,,,,,,,,,0,0,0,0,,,,,,,,,f,0.300691873883,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_schema_16_WHI.jpg,left,16,schema,,,,,,,,,0,1,1,1,,,,,,,,,j,0.101347176242,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_5_WHI.jpg,ahead,5,schema,,,,,,,,,0,2,2,2,,,,,,,,,f,0.0343327196897,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_schema_11_WHI.jpg,left,11,schema,,,,,,,,,0,3,3,3,,,,,,,,,j,0.0168819800019,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_21_WHI.jpg,ahead,21,schema,,,,,,,,,0,4,4,4,,,,,,,,,f,0.0840950928978,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_19_WHI.jpg,right,19,schema,,,,,,,,,0,5,5,5,,,,,,,,,j,0.017196202185,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_13_WHI.jpg,right,13,schema,,,,,,,,,0,6,6,6,,,,,,,,,f,0.0679094337975,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_schema_3_WHI.jpg,left,3,schema,,,,,,,,,0,7,7,7,,,,,,,,,j,0.0171055049286,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_10_WHI.jpg,right,10,schema,,,,,,,,,0,8,8,8,,,,,,,,,f,0.0712868830306,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,left_schema_4_WHI.jpg,left,4,schema,,,,,,,,,0,9,9,9,,,,,,,,,j,0.0170370431151,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,right_schema_16_WHI.jpg,right,16,schema,,,,,,,,,0,10,10,10,,,,,,,,,f,0.0675925785326,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_16_WHI.jpg,ahead,16,schema,,,,,,,,,0,11,11,11,,,,,,,,,j,0.0503542459919,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
,,,,,,,ahead_schema_11_WHI.jpg,ahead,11,schema,,,,,,,,,0,12,12,12,,,,,,,,,f,0.0337876583799,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
