15.1884 	ERROR 	avbin.dll failed to load.
                     Try importing psychopy.visual as the first library
                     (before anything that uses scipy)
                     and make sure that avbin is installed.
71.7898 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
71.8029 	EXP 	text_9: autoDraw = False
71.8029 	EXP 	text_same_practice: autoDraw = False
71.8029 	EXP 	unnamed Polygon: autoDraw = False
71.8029 	EXP 	text_same_practice: text = ''
71.8029 	EXP 	text_9: autoDraw = True
71.8029 	EXP 	text_same_practice: autoDraw = True
71.9861 	DATA 	Keypress: f
71.9869 	EXP 	New trial (rep=1, index=0): {u'color': u'#fdae61', u'answer': u'o'}
71.9925 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
72.0186 	EXP 	text_9: autoDraw = False
72.0186 	EXP 	text_same_practice: autoDraw = False
72.0186 	EXP 	unnamed Polygon: autoDraw = False
72.0186 	EXP 	text_same_practice: text = 'SAME?'
72.0186 	EXP 	text_9: autoDraw = True
72.0186 	EXP 	text_same_practice: autoDraw = True
72.2040 	DATA 	Keypress: a
72.2199 	EXP 	New trial (rep=1, index=1): {u'color': u'#2c7bb6', u'answer': u'b'}
