Stimulus,direction,number,format,Stimulus_Practice,Direction,Number,Background,Format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,right_word_1_WHI.jpg,right,1,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,f,0.100777518367,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_word_3_WHI.jpg,left,3,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,f,0.284533167692,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_word_3_WHI.jpg,right,3,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,f,0.0345840383834,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,d,0.651344324972,f,0.302192883814,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_word_3_WHI.jpg,left,3,_WHI,word,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,f,0.0182460677852,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_word_3_WHI.jpg,right,3,_WHI,word,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,f,2.31698866922,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_word_1_WHI.jpg,right,1,_WHI,word,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,f,0.0175262921157,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,f,0.250652840548,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_word_3_WHI.jpg,ahead,3,_WHI,word,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,f,0.384890779732,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_word_1_WHI.jpg,left,1,_WHI,word,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,f,4.38491933872,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_word_2_WHI.jpg,left,2,_WHI,word,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,f,0.0690346527581,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,d,0.634415540371,f,0.567877567632,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,f,0.0180894396017,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_1_WHI.jpg,left,1,_WHI,image,,,,,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,f,0.317899433105,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_image_1_WHI.jpg,right,1,_WHI,image,,,,,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,f,0.000269525420663,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_image_2_WHI.jpg,right,2,_WHI,image,,,,,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,f,0.334672035757,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_2_WHI.jpg,left,2,_WHI,image,,,,,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,f,0.367924511463,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_3_WHI.jpg,left,3,_WHI,image,,,,,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,f,0.284810725327,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
